trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
2.63,40.50,0.00,0.00,1.99,165.98,0.03,186.37,701,307,0.01,0.01,0.00,0.00,-1.93,0.48,1.99,165.98,-1.93,0.48,121.18,0.00,26.46,1779.39,2.75
2.74,40.46,0.00,0.00,1.99,142.69,0.15,209.78,701,307,0.10,0.10,0.00,0.00,-1.58,1.21,1.99,142.69,-1.58,1.21,121.18,0.00,26.46,1779.39,2.75
2.91,40.39,0.96,73.07,1.89,171.25,0.15,209.89,701,307036,0.26,0.26,0.28,0.91,-1.87,0.29,1.99,142.78,-1.59,1.21,121.18,0.00,26.46,1779.39,2.75
3.02,40.30,0.95,37.82,1.89,135.61,0.10,245.58,701,307036,0.38,0.38,0.75,0.58,-1.35,1.32,2.00,107.27,-0.59,1.91,121.18,0.01,26.46,1779.39,2.75
3.08,40.21,0.95,38.05,1.89,135.56,0.11,245.62,701,307036,0.49,0.49,0.75,0.58,-1.35,1.32,2.00,107.38,-0.60,1.91,121.18,0.01,26.46,1779.39,2.75
3.14,40.10,0.94,38.29,1.88,135.51,0.11,245.66,701,307036,0.61,0.61,0.74,0.58,-1.34,1.32,2.00,107.49,-0.60,1.91,121.18,0.01,26.46,1779.39,2.75
3.22,39.98,1.63,65.78,1.34,161.80,0.16,245.70,701,307043,0.74,0.74,0.67,1.48,-1.28,0.42,2.00,107.62,-0.61,1.91,121.18,0.01,26.46,1779.39,2.75
3.31,39.83,1.62,66.08,1.34,161.75,0.16,245.76,701,307043,0.91,0.91,0.66,1.48,-1.27,0.42,2.00,107.78,-0.61,1.91,121.18,0.01,26.46,1779.39,2.75
3.35,39.69,1.62,43.17,1.34,138.54,0.13,268.94,701,307043,1.06,1.06,1.18,1.11,-1.00,0.89,-2.00,84.78,0.18,2.00,121.18,0.02,26.46,1779.39,2.75
3.36,39.56,1.61,43.35,1.34,138.46,0.13,268.94,701,307043,1.18,1.18,1.17,1.11,-1.00,0.89,-2.00,84.91,0.18,2.00,121.18,0.02,26.46,1779.39,2.75
3.36,39.43,1.98,45.05,1.37,154.40,0.13,268.94,701,307046,1.31,1.31,1.40,1.40,-1.23,0.59,-2.00,85.04,0.17,2.00,121.18,0.02,26.46,1779.39,2.75
3.36,39.30,1.98,45.20,1.36,154.35,0.13,268.95,701,307046,1.44,1.44,1.39,1.40,-1.23,0.59,-2.00,85.17,0.17,2.00,121.18,0.02,26.46,1779.39,2.75
3.36,39.16,1.97,41.22,1.36,150.15,0.16,273.08,701,307046,1.58,1.58,1.48,1.30,-1.18,0.68,-2.00,81.18,0.31,1.98,121.18,0.03,26.46,1779.39,2.75
3.35,39.01,1.97,41.39,1.36,150.08,0.16,273.08,701,307046,1.74,1.74,1.47,1.30,-1.18,0.68,-2.00,81.34,0.30,1.98,121.18,0.03,26.46,1779.39,2.75
3.34,38.85,2.03,41.95,1.36,152.86,0.16,273.07,701,307048,1.89,1.89,1.51,1.35,-1.21,0.62,-2.00,81.50,0.30,1.98,121.18,0.03,26.46,1779.39,2.75
3.33,38.69,2.02,42.12,1.36,152.79,0.16,273.06,701,307048,2.05,2.05,1.50,1.35,-1.21,0.62,-2.00,81.65,0.29,1.98,121.18,0.03,26.46,1779.39,2.75
3.30,38.53,2.01,37.46,1.36,147.88,0.18,277.88,701,307048,2.22,2.22,1.60,1.22,-1.15,0.72,-2.00,76.99,0.45,1.95,121.18,0.03,26.46,1779.39,2.75
3.27,38.35,2.00,37.64,1.35,147.79,0.18,277.86,701,307048,2.40,2.40,1.59,1.22,-1.15,0.72,-2.00,77.18,0.44,1.95,121.18,0.03,26.46,1779.39,2.75
3.24,38.17,2.10,39.38,1.34,152.70,0.18,277.84,701,307051,2.58,2.58,1.62,1.33,-1.19,0.61,-2.00,77.36,0.44,1.95,121.18,0.03,26.46,1779.39,2.75
3.21,37.99,2.09,39.57,1.33,152.63,0.18,277.82,701,307051,2.46,2.76,1.61,1.33,-1.18,0.61,-1.99,77.54,0.43,1.95,121.18,0.03,26.46,1779.39,2.75
3.18,37.83,2.08,35.87,1.33,148.70,0.14,281.66,701,307051,2.30,2.92,1.69,1.22,-1.14,0.69,-1.99,73.85,0.55,1.91,121.18,0.03,26.46,1779.39,2.75
3.14,37.69,2.08,35.90,1.33,148.83,0.14,281.63,701,307052,2.16,3.06,1.69,1.22,-1.14,0.69,-1.99,73.99,0.55,1.91,121.18,0.03,26.46,1779.39,2.75
3.10,37.56,2.08,32.02,1.33,144.76,0.13,285.61,701,307052,2.02,3.20,1.76,1.10,-1.09,0.77,-1.99,70.12,0.68,1.87,117.45,0.03,26.46,1667.98,2.75
3.05,37.43,2.07,32.13,1.33,144.69,0.13,285.59,701,307052,1.89,3.34,1.75,1.10,-1.08,0.77,-1.99,70.25,0.67,1.87,117.45,0.03,26.46,1667.98,2.75
