trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
0.50,39.82,0.11,-83.22,-0.79,-54.94,0.03,87.07,301,331009,0.02,0.02,0.01,-0.11,0.45,-0.65,-0.89,-58.33,0.47,-0.75,122.58,0.00,26.83,901.71,2.27
0.50,39.90,0.21,-35.27,-0.70,-64.91,0.12,87.06,301,331010,0.09,0.09,0.17,-0.12,0.30,-0.64,-0.89,-58.33,0.47,-0.75,122.58,0.00,26.83,901.71,2.27
0.54,40.02,0.21,-71.38,0.70,-101.04,0.13,123.22,301,331010,0.22,0.22,0.07,-0.19,-0.13,-0.69,0.89,-94.45,-0.07,-0.88,122.58,0.00,26.83,901.71,2.27
0.63,40.12,0.21,-71.37,0.70,-101.04,0.13,123.28,301,331010,0.35,0.35,0.07,-0.19,-0.13,-0.69,0.89,-94.45,-0.07,-0.88,122.58,0.00,26.83,901.71,2.27
0.72,40.23,0.23,-55.19,0.72,-106.18,0.13,123.34,301,331012,0.47,0.47,0.13,-0.19,-0.20,-0.69,0.89,-94.44,-0.07,-0.88,122.58,0.00,26.83,901.71,2.27
0.82,40.34,0.23,-55.19,0.72,-106.17,0.13,123.40,301,331012,0.60,0.60,0.13,-0.19,-0.20,-0.69,0.89,-94.44,-0.07,-0.88,122.58,0.00,26.83,901.71,2.27
0.93,40.44,0.23,-67.63,0.72,-118.61,0.13,135.91,301,331012,0.73,0.73,0.09,-0.21,-0.35,-0.63,0.89,-106.88,-0.26,-0.85,122.58,0.00,26.83,901.71,2.27
1.05,40.53,0.23,-67.63,0.72,-118.61,0.13,135.99,301,331012,0.87,0.87,0.09,-0.21,-0.35,-0.63,0.89,-106.88,-0.26,-0.85,122.58,0.00,26.83,901.71,2.27
1.18,40.62,0.23,-67.63,0.72,-118.60,0.13,136.08,301,331012,1.00,1.00,0.09,-0.21,-0.35,-0.63,0.89,-106.87,-0.26,-0.85,122.58,0.00,26.83,901.71,2.27
1.31,40.72,0.20,-40.88,0.83,-119.92,0.13,136.16,301,331014,1.13,1.13,0.15,-0.13,-0.41,-0.72,0.89,-106.87,-0.26,-0.85,122.58,0.00,26.83,901.71,2.27
1.43,40.81,0.20,-40.87,0.83,-119.91,0.13,136.24,301,331014,1.27,1.27,0.15,-0.13,-0.41,-0.72,0.89,-106.86,-0.26,-0.85,122.58,0.00,26.83,901.71,2.27
1.56,40.90,0.20,-40.87,0.83,-119.91,0.13,136.32,301,331014,1.40,1.40,0.15,-0.13,-0.41,-0.72,0.89,-106.86,-0.26,-0.85,102.73,0.00,26.83,1707.26,2.71
1.69,41.00,0.20,-35.01,0.83,-114.04,0.15,130.54,301,331014,1.54,1.54,0.17,-0.12,-0.34,-0.75,0.89,-100.99,-0.17,-0.87,102.73,0.00,26.83,1707.26,2.71
1.81,41.11,0.20,-35.01,0.83,-114.04,0.15,130.63,301,331014,1.69,1.69,0.17,-0.12,-0.34,-0.75,0.89,-100.98,-0.17,-0.87,102.73,0.00,26.83,1707.26,2.71
1.94,41.22,0.33,-24.99,0.87,-122.31,0.15,130.71,301,331016,1.83,1.83,0.29,-0.14,-0.46,-0.73,0.89,-100.98,-0.17,-0.87,102.73,0.00,26.83,1707.26,2.71
