trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
5.10,43.44,-0.29,113.11,1.65,-128.93,0.03,181.79,701,307,0.01,0.01,-0.11,0.27,-1.04,-1.28,1.53,-138.51,-1.15,-1.02,6.51,0.00,43.19,399.20,1.34
5.20,43.41,0.29,83.08,1.65,-158.55,0.12,211.39,701,307,0.09,0.09,0.04,0.29,-1.54,-0.60,1.54,-168.08,-1.50,-0.32,6.51,0.00,43.19,399.20,1.34
5.34,43.35,0.29,82.27,1.66,-158.66,0.12,211.49,701,307,0.21,0.21,0.04,0.29,-1.55,-0.60,1.54,-168.11,-1.51,-0.32,6.51,0.00,43.19,399.20,1.34
5.52,43.26,0.35,-66.49,1.65,-179.99,0.18,211.61,701,307036,0.37,0.37,0.14,-0.32,-1.65,-0.00,1.55,-168.16,-1.51,-0.32,6.51,0.00,43.19,399.20,1.34
5.67,43.20,0.35,-66.83,1.66,-179.99,0.06,211.71,701,307036,0.49,0.49,0.14,-0.32,-1.66,-0.00,1.55,-168.19,-1.52,-0.32,6.51,0.00,43.19,399.20,1.34
5.83,43.16,0.35,-49.35,1.66,-162.24,0.18,194.05,701,307036,0.62,0.62,0.22,-0.26,-1.58,-0.51,1.56,-150.50,-1.35,-0.77,6.51,0.00,43.19,399.20,1.34
6.07,43.12,0.45,-45.12,1.74,-165.00,0.18,194.22,701,307037,0.80,0.80,0.32,-0.32,-1.68,-0.45,1.56,-150.62,-1.36,-0.77,6.51,0.00,43.19,399.20,1.34
6.26,43.08,0.45,-39.97,1.74,-159.66,0.10,188.98,701,307037,0.94,0.94,0.34,-0.29,-1.63,-0.60,1.57,-145.36,-1.29,-0.89,6.51,0.00,43.19,399.20,1.34
6.40,43.07,0.46,-12.16,1.92,-155.53,0.10,189.07,701,307038,1.04,1.04,0.45,-0.10,-1.75,-0.79,1.57,-145.43,-1.29,-0.89,6.51,0.00,43.19,399.20,1.34
6.54,43.04,0.46,-25.82,1.92,-169.13,0.12,202.75,701,307038,1.15,1.15,0.42,-0.20,-1.89,-0.36,1.57,-159.08,-1.47,-0.56,6.51,0.00,43.19,399.20,1.34
6.68,42.99,0.33,1.82,1.89,-162.36,0.12,202.85,701,307039,1.27,1.27,0.33,0.01,-1.81,-0.57,1.58,-159.13,-1.47,-0.56,6.51,0.00,43.19,399.20,1.34
6.81,42.98,0.33,37.86,1.90,-126.42,0.08,166.97,701,307039,1.36,1.36,0.26,0.20,-1.13,-1.53,1.58,-123.24,-0.87,-1.32,6.51,0.00,43.19,399.20,1.34
6.91,43.00,0.52,39.85,2.08,-127.39,0.08,167.04,701,307040,1.44,1.44,0.40,0.33,-1.26,-1.65,1.58,-123.33,-0.87,-1.32,6.51,0.00,43.19,399.20,1.34
7.04,43.00,0.51,22.17,2.08,-145.19,0.11,184.90,701,307040,1.54,1.54,0.48,0.19,-1.71,-1.19,1.58,-141.19,-1.23,-0.99,6.51,0.00,43.19,399.20,1.34
