trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
2.97,41.49,0.00,0.00,1.99,-170.68,0.14,198.02,701,307,0.07,0.07,0.00,0.00,-1.96,-0.32,1.99,-170.68,-1.96,-0.32,120.42,0.00,739.44,789.62,2.76
3.15,41.44,0.00,0.00,2.00,-170.71,0.14,198.14,701,307,0.22,0.22,0.00,0.00,-1.97,-0.32,2.00,-170.71,-1.97,-0.32,120.42,0.00,739.44,789.62,2.76
3.34,41.40,-0.38,124.15,1.87,-159.97,0.14,198.26,701,307036,0.36,0.36,-0.21,0.32,-1.76,-0.64,2.00,-170.74,-1.98,-0.32,120.42,0.00,739.44,789.62,2.76
3.52,41.35,-0.39,124.86,1.88,-159.98,0.14,198.38,701,307036,0.50,0.50,-0.22,0.32,-1.76,-0.64,2.01,-170.77,-1.98,-0.32,120.42,0.00,739.44,789.62,2.76
3.64,41.29,0.39,85.97,1.88,160.49,0.10,237.98,701,307036,0.62,0.62,0.03,0.39,-1.77,0.63,2.02,149.72,-1.74,1.02,120.42,0.00,739.44,789.62,2.76
3.73,41.18,0.39,86.70,1.88,160.50,0.15,238.04,701,307036,0.75,0.75,0.02,0.39,-1.77,0.63,2.02,149.80,-1.75,1.02,120.42,0.00,739.44,789.62,2.76
3.84,41.05,0.39,87.60,1.88,160.51,0.15,238.11,701,307036,0.90,0.90,0.02,0.39,-1.77,0.63,2.03,149.90,-1.75,1.02,120.42,0.00,739.44,789.62,2.76
3.94,40.92,0.39,88.50,1.88,160.52,0.15,238.18,701,307036,1.05,1.05,0.01,0.39,-1.77,0.63,2.03,150.00,-1.76,1.02,120.42,0.00,739.44,6654.68,2.76
4.06,40.78,1.30,65.81,2.31,-175.61,0.18,238.26,701,307043,1.22,1.22,0.53,1.19,-2.30,-0.18,2.04,150.11,-1.77,1.02,120.42,0.01,739.44,6654.68,2.76
4.19,40.62,1.30,66.11,2.31,-175.61,0.18,238.34,701,307043,1.41,1.41,0.53,1.19,-2.30,-0.18,2.05,150.22,-1.78,1.02,120.42,0.01,739.44,6654.68,2.76
4.32,40.47,1.30,66.41,2.31,-175.61,0.18,238.42,701,307043,1.59,1.59,0.52,1.19,-2.30,-0.18,2.05,150.34,-1.78,1.02,195.97,0.01,739.44,6654.68,2.94
4.40,40.30,1.29,46.20,2.31,163.92,0.17,258.94,701,307043,1.77,1.77,0.89,0.93,-2.22,0.64,2.06,130.02,-1.32,1.58,195.97,0.02,739.44,6654.68,2.94
4.44,40.14,1.29,46.42,2.31,163.93,0.17,258.97,701,307043,1.94,1.94,0.89,0.93,-2.22,0.64,2.06,130.18,-1.33,1.58,195.97,0.02,739.44,6654.68,2.94
4.49,39.97,1.65,50.16,2.42,172.73,0.17,259.00,701,307046,2.11,2.11,1.06,1.27,-2.40,0.31,2.07,130.34,-1.34,1.58,195.97,0.02,739.44,6654.68,2.94
4.53,39.80,1.65,50.34,2.42,172.73,0.17,259.03,701,307046,2.28,2.28,1.05,1.27,-2.40,0.31,2.07,130.51,-1.35,1.58,195.97,0.02,739.44,6654.68,2.94
4.55,39.64,1.64,37.65,2.42,159.88,0.16,271.89,701,307046,2.45,2.45,1.30,1.00,-2.27,0.83,2.08,117.82,-0.97,1.84,195.97,0.02,739.44,6654.68,2.94
4.54,39.47,1.64,37.79,2.42,159.89,0.16,271.89,701,307046,2.61,2.61,1.29,1.00,-2.27,0.83,2.08,118.00,-0.98,1.84,195.97,0.02,739.44,6654.68,2.94
4.53,39.31,1.70,38.61,2.44,161.45,0.16,271.88,701,307048,2.77,2.77,1.33,1.06,-2.31,0.78,2.09,118.18,-0.98,1.84,195.97,0.03,739.44,6654.68,2.94
4.53,39.15,1.69,38.74,2.44,161.45,0.16,271.88,701,307048,2.94,2.94,1.32,1.06,-2.31,0.78,2.09,118.36,-0.99,1.84,195.97,0.03,739.44,6654.68,2.94
4.51,38.97,1.68,33.96,2.44,156.53,0.20,276.80,701,307048,3.12,3.12,1.40,0.94,-2.24,0.97,2.09,113.63,-0.84,1.92,195.97,0.03,739.44,6654.68,2.94
4.48,38.77,1.68,34.11,2.44,156.54,0.20,276.78,701,307048,3.18,3.31,1.39,0.94,-2.24,0.97,2.10,113.85,-0.85,1.92,195.97,0.03,739.44,6654.68,2.94
4.45,38.58,1.77,36.41,2.44,159.31,0.20,276.76,701,307051,2.98,3.51,1.42,1.05,-2.28,0.86,2.10,114.07,-0.86,1.92,144.19,0.03,739.44,6654.68,2.30
4.42,38.38,1.76,36.56,2.44,159.32,0.20,276.74,701,307051,2.79,3.71,1.42,1.05,-2.28,0.86,2.10,114.29,-0.87,1.92,144.19,0.03,739.44,6654.68,2.30
