trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
3.08,41.83,0.00,0.00,1.99,-157.96,0.03,184.91,701,307,0.01,0.01,0.00,0.00,-1.84,-0.75,1.99,-157.96,-1.84,-0.75,122.54,0.00,754.72,2462.41,2.76
3.20,41.80,0.00,0.00,1.99,-174.51,0.16,201.52,701,307,0.11,0.11,0.00,0.00,-1.98,-0.19,1.99,-174.51,-1.98,-0.19,122.54,0.00,754.72,2462.41,2.76
3.40,41.74,0.00,0.00,2.00,-174.53,0.16,201.65,701,307,0.26,0.26,0.00,0.00,-1.99,-0.19,2.00,-174.53,-1.99,-0.19,122.54,0.00,754.72,2462.41,2.76
3.59,41.68,-0.39,122.22,1.86,-163.64,0.16,201.78,701,307036,0.42,0.42,-0.21,0.33,-1.79,-0.52,2.01,-174.55,-2.00,-0.19,122.54,0.00,754.72,2462.41,2.76
3.79,41.62,-0.39,123.00,1.86,-163.65,0.16,201.91,701,307036,0.58,0.58,-0.21,0.33,-1.79,-0.52,2.01,-174.57,-2.00,-0.19,122.54,0.00,754.72,2462.41,2.76
3.93,41.55,-0.40,91.91,1.86,164.59,0.10,233.76,701,307036,0.71,0.71,-0.01,0.40,-1.80,0.50,2.02,153.69,-1.81,0.89,122.54,0.00,754.72,2462.41,2.76
4.03,41.44,-0.40,92.70,1.86,164.60,0.18,233.83,701,307036,0.85,0.85,-0.02,0.40,-1.80,0.50,2.02,153.77,-1.82,0.89,122.54,0.00,754.72,2462.41,2.76
4.17,41.30,-0.40,93.71,1.87,164.61,0.18,233.93,701,307036,1.02,1.02,-0.03,0.40,-1.80,0.50,2.03,153.87,-1.82,0.89,122.54,0.00,754.72,6433.03,2.76
4.31,41.16,-0.40,94.72,1.87,164.62,0.18,234.02,701,307036,1.20,1.20,-0.03,0.40,-1.80,0.50,2.04,153.97,-1.83,0.89,122.54,0.00,754.72,6433.03,2.76
4.44,41.02,1.31,70.87,2.29,-171.33,0.16,234.10,701,307043,1.37,1.37,0.43,1.24,-2.27,-0.35,2.05,154.07,-1.84,0.89,197.04,0.01,754.72,6433.03,2.94
4.56,40.90,1.31,71.13,2.29,-171.33,0.16,234.18,701,307043,1.52,1.52,0.42,1.24,-2.27,-0.35,2.05,154.15,-1.85,0.89,197.04,0.01,754.72,6433.03,2.94
4.68,40.77,1.30,71.39,2.29,-171.34,0.16,234.26,701,307043,1.68,1.68,0.42,1.24,-2.27,-0.35,2.06,154.24,-1.85,0.89,197.04,0.01,754.72,6433.03,2.94
4.80,40.64,1.30,71.65,2.30,-171.34,0.16,234.34,701,307043,1.84,1.84,0.41,1.24,-2.27,-0.35,2.06,154.33,-1.86,0.89,197.04,0.01,754.72,6433.03,2.94
4.89,40.49,1.30,49.52,2.30,166.28,0.19,256.78,701,307043,2.01,2.01,0.84,0.99,-2.23,0.54,2.07,132.07,-1.39,1.54,197.04,0.02,754.72,6433.03,2.94
4.95,40.31,1.29,49.77,2.30,166.29,0.19,256.81,701,307043,2.19,2.19,0.84,0.99,-2.23,0.54,2.08,132.25,-1.40,1.54,197.04,0.02,754.72,6433.03,2.94
