trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
3.51,42.46,0.00,0.00,1.97,-157.59,0.03,184.24,701,307,0.01,0.01,0.00,0.00,-1.82,-0.75,1.97,-157.59,-1.82,-0.75,202.72,0.00,80.06,6591.06,2.95
3.65,42.41,0.00,0.00,1.97,179.38,0.19,207.35,701,307,0.12,0.12,0.00,0.00,-1.97,0.02,1.97,179.38,-1.97,0.02,202.72,0.00,80.06,6591.06,2.95
3.87,42.33,0.00,0.00,1.98,179.39,0.19,207.50,701,307,0.31,0.31,0.00,0.00,-1.98,0.02,1.98,179.39,-1.98,0.02,202.72,0.00,769.32,6591.06,2.95
4.10,42.24,-0.41,119.35,1.82,-169.30,0.19,207.65,701,307036,0.50,0.50,-0.20,0.36,-1.79,-0.34,1.99,179.39,-1.99,0.02,202.72,0.00,769.32,6591.06,2.95
4.33,42.15,-0.41,120.26,1.82,-169.31,0.19,207.80,701,307036,0.69,0.69,-0.21,0.36,-1.79,-0.34,2.00,179.39,-2.00,0.02,202.72,0.00,769.32,6591.06,2.95
4.45,42.10,-0.41,100.85,1.82,170.75,0.03,227.83,701,307036,0.80,0.80,-0.08,0.41,-1.80,0.29,2.00,159.46,-1.88,0.70,202.72,0.00,769.32,6591.06,2.95
4.55,42.02,-0.42,101.43,1.82,170.75,0.19,227.90,701,307036,0.91,0.91,-0.08,0.41,-1.80,0.29,2.01,159.51,-1.88,0.70,202.72,0.00,769.32,6591.06,2.95
4.72,41.88,-0.42,102.44,1.82,170.76,0.19,228.01,701,307036,1.10,1.10,-0.09,0.41,-1.80,0.29,2.02,159.60,-1.89,0.70,202.72,0.00,769.32,6591.06,2.95
4.89,41.74,-0.42,103.44,1.83,170.76,0.19,228.12,701,307036,1.29,1.29,-0.10,0.41,-1.80,0.29,2.02,159.68,-1.90,0.70,202.72,0.00,769.32,6591.06,2.95
5.06,41.60,-0.42,104.43,1.83,170.77,0.19,228.23,701,307036,1.47,1.47,-0.10,0.41,-1.80,0.29,2.03,159.77,-1.91,0.70,202.72,0.00,769.32,6591.06,2.95
5.23,41.45,1.32,78.49,2.26,-164.77,0.20,228.35,701,307043,1.67,1.67,0.26,1.29,-2.18,-0.59,2.04,159.85,-1.92,0.70,202.72,0.01,769.32,6591.06,2.95
5.40,41.31,1.32,78.82,2.26,-164.78,0.20,228.46,701,307043,1.86,1.86,0.26,1.29,-2.18,-0.59,2.05,159.94,-1.93,0.70,202.72,0.01,769.32,6591.06,2.95
5.57,41.16,1.32,79.15,2.26,-164.79,0.20,228.58,701,307043,2.06,2.06,0.25,1.29,-2.18,-0.59,2.06,160.02,-1.93,0.70,202.72,0.01,769.32,6591.06,2.95
5.75,41.01,1.31,79.48,2.26,-164.80,0.20,228.69,701,307043,2.25,2.25,0.24,1.29,-2.18,-0.59,2.07,160.11,-1.94,0.70,202.72,0.01,769.32,6591.06,2.95
5.86,40.87,1.31,55.05,2.26,170.50,0.14,253.47,701,307043,2.42,2.42,0.75,1.08,-2.23,0.37,2.07,135.51,-1.48,1.45,202.72,0.01,769.32,6591.06,2.95
5.91,40.73,1.31,55.26,2.26,170.50,0.14,253.50,701,307043,2.57,2.57,0.75,1.08,-2.23,0.37,2.08,135.64,-1.49,1.45,202.72,0.01,769.32,6591.06,2.95
